epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix
50,0.9906438052654266,0.5238095238095238,0.4,0.26096256684491975,0.19455535390199635,0.28021778584392015,"[0.9411764705882353, 0.36363636363636365, 0.0, 0.0, 0.0]","[[16, 1, 0, 0, 0], [7, 4, 0, 0, 0], [6, 2, 0, 1, 0], [9, 1, 0, 0, 0], [3, 0, 0, 0, 0]]"
51,1.0422354638576508,0.6258503401360545,0.22,0.2606060606060606,0.2089377289377289,0.1544029304029304,"[0.0, 0.6363636363636364, 0.3333333333333333, 0.0, 0.3333333333333333]","[[0, 11, 2, 3, 1], [0, 7, 1, 3, 0], [0, 5, 3, 1, 0], [0, 5, 5, 0, 0], [0, 0, 1, 1, 1]]"
52,1.052903175354004,0.5374149659863946,0.38,0.31875222816399285,0.2747984670278842,0.3149834809039249,"[0.7058823529411765, 0.45454545454545453, 0.0, 0.1, 0.3333333333333333]","[[12, 4, 0, 0, 1], [4, 5, 0, 2, 0], [5, 2, 0, 1, 1], [7, 1, 0, 1, 1], [2, 0, 0, 0, 1]]"
53,0.9524972081184387,0.5306122448979592,0.36,0.2618300653594771,0.20857142857142857,0.2705714285714286,"[0.7647058823529411, 0.0, 0.4444444444444444, 0.1, 0.0]","[[13, 0, 3, 1, 0], [8, 0, 1, 2, 0], [5, 0, 4, 0, 0], [7, 0, 2, 1, 0], [2, 0, 1, 0, 0]]"
54,1.0075349628925323,0.673469387755102,0.24,0.27434343434343433,0.1948107615139079,0.17491928864569084,"[0.0, 0.7272727272727273, 0.1111111111111111, 0.2, 0.3333333333333333]","[[0, 12, 0, 2, 3], [0, 8, 0, 2, 1], [0, 6, 1, 1, 1], [0, 5, 0, 2, 3], [1, 1, 0, 0, 1]]"
55,0.941604208946228,0.6462585034013606,0.38,0.32134284016636955,0.3061518661518662,0.37377091377091376,"[0.4117647058823529, 0.2727272727272727, 0.2222222222222222, 0.7, 0.0]","[[7, 1, 1, 7, 1], [2, 3, 0, 6, 0], [1, 0, 2, 6, 0], [2, 0, 1, 7, 0], [1, 0, 1, 1, 0]]"
56,0.8573102474212646,0.7142857142857143,0.32,0.3106357694592988,0.30805662805662803,0.305029601029601,"[0.4117647058823529, 0.36363636363636365, 0.4444444444444444, 0.0, 0.3333333333333333]","[[7, 4, 2, 3, 1], [2, 4, 2, 3, 0], [4, 1, 4, 0, 0], [6, 1, 3, 0, 0], [1, 0, 1, 0, 1]]"
57,0.8649543225765228,0.7687074829931972,0.34,0.2530005941770647,0.24057971014492754,0.30347826086956525,"[0.5882352941176471, 0.45454545454545453, 0.2222222222222222, 0.0, 0.0]","[[10, 4, 0, 3, 0], [3, 5, 0, 3, 0], [5, 2, 2, 0, 0], [8, 1, 1, 0, 0], [3, 0, 0, 0, 0]]"
58,0.8991554021835327,0.6666666666666666,0.38,0.33522281639928697,0.309974725397002,0.34561732025624314,"[0.5882352941176471, 0.45454545454545453, 0.0, 0.3, 0.3333333333333333]","[[10, 2, 0, 4, 1], [3, 5, 0, 3, 0], [5, 1, 0, 2, 1], [6, 0, 0, 3, 1], [2, 0, 0, 0, 1]]"
59,0.8739128947257996,0.7006802721088435,0.42,0.3584432560903149,0.35390648567119154,0.35610256410256413,"[0.8235294117647058, 0.09090909090909091, 0.4444444444444444, 0.1, 0.3333333333333333]","[[14, 0, 3, 0, 0], [7, 1, 1, 2, 0], [5, 0, 4, 0, 0], [7, 0, 2, 1, 0], [1, 0, 1, 0, 1]]"
