group,tensor,shape,dtype,bytes,sha256
G0259,tensors/G0259.pt,"96,3,224,224",uint8,14452187,1a7dc56de5c01f7f34d90a461f59d29a34c19937c2bfbcbbd9990594a1240217
G0260,tensors/G0260.pt,"96,3,224,224",uint8,14452187,0f8523c4548da91cfd8aecb5c9957472513dadba80d16430409ed0a3f60b403c
G0261,tensors/G0261.pt,"96,3,224,224",uint8,14452187,2551bf946c2bce4d6673f001a7d43dd2b43515950db908c8957a8b3b0aa34882
G0264,tensors/G0264.pt,"96,3,224,224",uint8,14452187,a875fa468174b796e153c7a519eebb9bf19de78779f5f6ae107780efdcac61d9
G0266,tensors/G0266.pt,"96,3,224,224",uint8,14452187,280322204ca2d808e5cb5cfc423a160d54d67861bdc7c14de249af8e5ceb2a15
G0269,tensors/G0269.pt,"96,3,224,224",uint8,14452187,188604429cf0787c6d642e44454675e77207150b148a272d2fd23183b22d2a8f
G0270,tensors/G0270.pt,"96,3,224,224",uint8,14452187,9cf8e5d4c60b2ed607d36daa87df9342b0380b8bd0562e1b13b784aeb2eacfac
G0273,tensors/G0273.pt,"96,3,224,224",uint8,14452187,e4b68db5c544e5fd1d8f6a5ad26ab540402a5deced88de7406fd76f780f842b5
G0276,tensors/G0276.pt,"96,3,224,224",uint8,14452187,aa680b37e2c6b0c4294b530cd69053f0bfa30d8d47ac0c4ea6971ead2388b793
G0277,tensors/G0277.pt,"96,3,224,224",uint8,14452187,1e0d4339b8cb70a678f788420b0c125e37e7c112464e2d64a7f3487fd12dfe81
G0278,tensors/G0278.pt,"96,3,224,224",uint8,14452187,b3fd6c40f7c5f4c9bb23611b6e659f632eca71949bbac0a3a59a11a63a55fbe4
G0279,tensors/G0279.pt,"96,3,224,224",uint8,14452187,0d3a8818ac6a2fc731f34bdcf55c0aa7eb6f633668e9ba1bedc5f478b8c7e4a4
G0281,tensors/G0281.pt,"96,3,224,224",uint8,14452187,865201b77857edd71fe0cedc720bfb4b693e1de792f2489fe39d6b6d43d58592
G0284,tensors/G0284.pt,"96,3,224,224",uint8,14452187,409c50f0ee2adca83b3e42c1a24481592618c9434da0485d163afcd9ee61fc5c
G0285,tensors/G0285.pt,"96,3,224,224",uint8,14452187,f461219a63f54a51ad2faff95dff6827f3d7d2e09a1e616a63abbb8531a2901f
